name,meaning,origin,gender,traits,pronunciation
Aarav,Peaceful,Sanskrit,Male,calm and wise,aa-rav
Aanya,Graceful,Sanskrit,Female,creative and thoughtful,aa-nya
Ishaan,Sun/Guardian,Sanskrit,Male,confident and ambitious,ish-aan
Maya,Illusion,Sanskrit,Female,friendly and kind,may-a
Rohan,Ascending,Sanskrit,Male,energetic and curious,ro-han
Anaya,Care,Protection,Sanskrit,Female,kind and compassionate,uh-nah-ya
Kavya,Poetry,Sanskrit,Female,creative and thoughtful,kaav-ya
Vihaan,Dawn,Sanskrit,Male,adventurous and bold,vi-haan
Karan,Helper,Sanskrit,Male,practical and hardworking,ka-ran
Sana,Brilliant,Arabic,Female,confident and bright,saa-na
Neil,Champion,Irish,Male,strong and reliable,neel
Aria,Melody,Hebrew,Female,musical and calm,aa-ree-ya
Zoya,Life,Slavic,Female,vibrant and playful,zoi-ya
Asha,Hope,Sanskrit,Female,optimistic and warm,aa-sha
Riya,Singer,Sanskrit,Female,graceful and charming,ree-ya
Sahil,Guide,Arabic,Male,steady and calm,sa-hil
Nisha,Night,Sanskrit,Female,quiet and thoughtful,ni-sha
Aditya,Sun,Sanskrit,Male,bright and confident,aa-dit-ya
Priya,Beloved,Sanskrit,Female,loving and kind,pree-ya
Kabir,Great,Arabic,Male,wise and honest,ka-beer
Tara,Star,Sanskrit,Female,bright and ambitious,taa-ra
Dev,God,Sanskrit,Male,spiritual and calm,dev
Mira,Admirable,Latin,Female,peaceful and creative,mee-ra
Ira,Watchful,Sanskrit,Female,calm and thoughtful,ee-ra
Samir,Breeze,Arabic,Male,cheerful and lively,sa-meer
Leela,Play,Sanskrit,Female,playful and artistic,lee-la
Om,Primordial Sound,Sanskrit,Male,spiritual and serene,om
Rhea,Flow,Greek,Female,graceful and free,rhee-a
Aryan,Noble,Sanskrit,Male,noble and strong,ar-yan
Aadvika,Unique,Sanskrit,Female,strong and confident,aa-dvi-ka
Abeer,Fragrance,Arabic,Male,calm and joyful,a-beer
Aditi,Boundless,Sanskrit,Female,kind-hearted and nurturing,aa-di-ti
Aksh,Immortal,Sanskrit,Male,strong and thoughtful,ak-sh
Anvi,Goddess of Forest,Sanskrit,Female,friendly and calm,an-vee
